date,TLT,VNQ,VTI
2018-01-02,0.3333333333333333,0.3333333333333333,0.3333333333333333
2018-01-03,0.22797425091266632,0.5440515279769897,0.22797425091266632
2018-01-04,0.3200499415397644,0.3423464000225067,0.33760371804237366
2018-01-05,0.5761168599128723,0.21194155514240265,0.21194155514240265
2018-01-08,0.5213035941123962,0.2393481731414795,0.2393481731414795
2018-01-09,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-10,0.2797958552837372,0.44040825963020325,0.2797958552837372
2018-01-11,0.5761168599128723,0.21194155514240265,0.21194155514240265
2018-01-12,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-16,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-17,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-18,0.2690700590610504,0.46185988187789917,0.2690700590610504
2018-01-19,0.21194155514240265,0.5761168599128723,0.21194155514240265
2018-01-22,0.30283695459365845,0.30283695459365845,0.3943261206150055
2018-01-23,0.3196127712726593,0.3196127712726593,0.3607744872570038
2018-01-24,0.41864946484565735,0.42500126361846924,0.15634924173355103
2018-01-25,0.5710378289222717,0.21888910233974457,0.2100730836391449
2018-01-26,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-29,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-01-30,0.26093295216560364,0.5046010613441467,0.23446597158908844
2018-01-31,0.28116872906684875,0.4376625716686249,0.28116872906684875
2018-02-01,0.21194155514240265,0.5761168599128723,0.21194155514240265
2018-02-02,0.5761168599128723,0.21194155514240265,0.21194155514240265
2018-02-05,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-02-06,0.47265949845314026,0.26367026567459106,0.26367026567459106
2018-02-07,0.547985315322876,0.20159253478050232,0.2504221796989441
2018-02-08,0.42231878638267517,0.42231878638267517,0.15536241233348846
2018-02-09,0.351500004529953,0.27898210287094116,0.36951789259910583
2018-02-12,0.27049872279167175,0.3578895330429077,0.37161171436309814
2018-02-13,0.5761168599128723,0.21194155514240265,0.21194155514240265
2018-02-14,0.47854161262512207,0.3454127609729767,0.17604562640190125
2018-02-15,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-02-16,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-02-20,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-02-21,0.28642189502716064,0.42715615034103394,0.28642189502716064
2018-02-22,0.3333333432674408,0.3333333432674408,0.3333333432674408
2018-02-23,0.5761168599128723,0.21194155514240265,0.21194155514240265
2018-02-26,0.26964664459228516,0.4607067406177521,0.26964664459228516
2018-02-27,0.3849487602710724,0.3849487602710724,0.23010246455669403
2018-02-28,0.21194155514240265,0.5761168599128723,0.21194155514240265
2018-03-01,0.3810119926929474,0.3094940185546875,0.3094940185546875
2018-03-02,0.32456013560295105,0.3508797287940979,0.32456013560295105
2018-03-05,0.2522840201854706,0.49543192982673645,0.2522840201854706
