,Ours,equalWeight,minVariance,stock,debt,reit
0,-0.4603946242300824,-0.43816478620979354,0.3760356274787019,-1.0092957312324993,1.6017753814675444,-0.42401730841355806
1,0.29885445476666006,0.5532157303306368,-0.828201737716842,0.9287384555962447,-1.2863166355886657,0.7162375791056219
2,1.266429181522252,1.1653849166953951,0.89134046735089,0.7757524328997272,0.3026443840269737,0.9519039842506869
3,1.324326672546535,0.8608883841486892,1.3941330402740375,0.036516951945109385,1.4017379448449687,0.24121836638295768
4,1.1055098796285794,1.34060076587811,1.1737757949981038,0.8308901110919459,0.30100416993565754,0.8750704453362089
5,0.08831558453884154,0.31146059516385544,1.1574714296464141,2.2338959629391653,-1.1055780766342012,-0.09056018229120129
6,3.0878387579942235,3.033955514557953,2.330768891846371,1.0912113892992452,2.009067860164385,2.3094423350551843
7,0.07287144114580299,-0.15604882774429268,-0.35523238683937025,0.03931484246293301,-0.3010401256417349,-0.044467846625106715
8,0.9931158045642385,0.6049601908231791,0.6412209372737283,0.9250777450006684,-0.08399210017058911,0.35782570134141695
9,1.0230750433960587,1.3988101885758295,2.9665977905263285,2.4230807132484573,0.6534119229675134,0.07315947226148037
10,-1.2686722424003527,-0.6766327201266594,-0.3629565659254044,-0.44836671481486834,-0.3447867117504512,-0.5759100110267744
11,2.6673640237758773,2.8358420423083825,2.4141178051515,2.005733567582612,1.0144626113032202,2.04884956644155
12,0.5021335652935343,0.5755689696701666,1.3678599568913576,0.6433310870026404,0.7545910295280148,0.008096853173094427
13,2.3336343491611133,1.971772570685292,0.6949056910951575,1.8028532031529256,-0.3887789544260635,2.4672171701289938
Avg,0.9310287065502342,0.9558295381969103,0.990131195860784,0.8770524297267361,0.32344305000189805,0.6367190089371825
