,Ours,equalWeight,minVariance,stock,debt,reit
0,-0.6613981344483355,-0.6216589504457065,0.5718850054655503,-1.3873724030104313,2.6526355737887206,-0.5999577757008114
1,0.43148966688807927,0.8202145361735531,-1.137158988377418,1.3573110780995694,-1.7030878492009522,1.0928185837835098
2,1.9348785131401922,1.7275597913672254,1.2750714363345172,1.1050769769430429,0.4289264419801185,1.402780438666076
3,2.0072757875010403,1.26631349690804,2.1011273924981015,0.04950435432405985,2.1620205117126563,0.34148176266184327
4,1.5599047654626135,1.9873068050159894,1.6692465420230786,1.23630077454541,0.41821693268830407,1.2535140086584298
5,0.1219093903863912,0.43479107133836975,1.6638517093132847,3.2659851122382784,-1.409614751384526,-0.12397042257040536
6,4.717396088054112,4.639641708778529,3.3767729375044047,1.5215354630862648,3.01598728104888,3.5344770795407467
7,0.0971212862868203,-0.20590046818539107,-0.46856078566945947,0.05460859269912815,-0.4087119402103549,-0.058790855679057764
8,1.4143591407113982,0.8279909456117086,0.9181754733712603,1.3062126299184738,-0.11466672805083171,0.4876486188458857
9,1.4864805987737586,2.057985052302749,4.627027957173502,3.7502269839578095,0.9390366977249835,0.1000261721293606
10,-1.587528314156993,-0.8725189956826976,-0.4673086069670852,-0.5830450226216173,-0.4774107499596892,-0.7530442342095058
11,4.017096845778563,4.331227707647022,3.617334871861258,2.9036426774219586,1.474359698990197,2.9898129940138785
12,0.6438017244179478,0.7590313453910763,1.9008104214888126,0.8765700999622459,1.1377795446895158,0.010640337408068893
13,3.6808139416532883,2.957038864564487,0.9996899943201362,2.6687402827038555,-0.5624595336113448,3.7839880853082306
Avg,1.418828664317777,1.4363587793417825,1.4748546685957105,1.2946641143048605,0.5395007950146912,0.9615303423468748
